Timestamp,Temperature,Gas,Humidity,Pressure,Altitude,Visible Light,IR Light
0.3,24.5,20025,54.1,1010.6,22.0,100.0,101.0
0.6,24.5,5684,53.8,1010.6,21.9,100.0,101.0
0.9,24.6,5684,53.4,1010.6,21.9,100.0,101.0
1.2,24.7,5684,52.8,1010.6,21.9,113.0,112.0
1.5,24.7,6783,52.2,1010.6,21.7,117.0,114.0
1.8,24.8,8109,51.7,1010.6,21.7,112.0,114.0
2.1,24.8,9624,51.2,1010.6,21.8,103.0,104.0
2.4,24.8,11235,50.7,1010.6,21.8,106.0,105.0
2.7,24.9,13109,50.3,1010.6,21.8,104.0,104.0
3.0,24.9,14811,50.0,1010.6,21.8,113.0,112.0
3.3,24.9,16533,49.6,1010.6,21.8,110.0,107.0
3.59999,24.9,18244,49.3,1010.6,21.8,104.0,104.0
3.89999,24.9,20062,49.1,1010.6,21.8,107.0,110.0
4.19999,24.9,21694,48.9,1010.6,21.8,116.0,113.0
4.49999,24.9,23845,48.7,1010.6,21.8,114.0,113.0
4.79999,25.0,25666,48.5,1010.6,21.8,112.0,114.0
5.09999,25.0,27379,48.3,1010.6,21.7,113.0,113.0
5.39999,25.0,29097,48.2,1010.6,21.7,114.0,113.0
5.69999,25.0,30932,48.1,1010.6,21.8,112.0,113.0
5.99999,25.0,32611,48.0,1010.6,21.8,105.0,104.0
6.29999,25.0,34399,47.9,1010.6,21.8,100.0,101.0
6.59999,25.0,36147,47.8,1010.6,21.8,82.0,84.0
6.89999,25.0,37982,47.7,1010.6,21.8,57.0,59.0
7.19999,25.0,39788,47.6,1010.6,21.7,106.0,103.0
7.49998,25.0,41571,47.6,1010.6,21.8,103.0,102.0
7.79998,25.0,43214,47.5,1010.6,21.8,97.0,110.0
8.09998,25.0,45229,47.4,1010.6,21.8,103.0,102.0
8.39998,25.0,47636,47.3,1010.6,21.7,104.0,102.0
8.69998,25.0,49259,47.3,1010.6,21.8,107.0,102.0
8.99998,25.0,51271,47.2,1010.6,21.8,101.0,103.0
9.29998,25.0,53189,47.2,1010.6,21.7,101.0,102.0
9.59998,25.0,54864,47.0,1010.6,21.8,78.0,80.0
9.89998,25.0,56537,47.0,1010.6,21.8,79.0,81.0
10.2,25.0,58715,47.0,1010.6,21.8,77.0,81.0
10.5,25.0,59785,46.9,1010.6,21.8,77.0,79.0
10.8,25.1,61642,46.9,1010.6,21.8,90.0,92.0
11.1,25.1,63382,46.8,1010.6,21.8,89.0,89.0
11.4,25.1,65173,46.8,1010.6,21.8,101.0,103.0
11.7,25.1,66753,46.8,1010.6,21.8,105.0,105.0
12.0,25.1,68303,46.8,1010.6,21.8,104.0,102.0
